source_id,source_path,output_path,category,face_probability,face_area_ratio,face_center_distance,pose_visibility,pose_landmarks_visible,blur_score,quality_score,selected,rejection_reason,identity_cluster_similarity,identity_cluster_score
valentina_sol_cafeteria_020,images/generated/dataset/valentina_sol/cafeteria/valentina_sol_cafeteria_020_00001_.png,,cafeteria,0.9999,0.10559,0.1172,0.9985,13,1.0,83.19,True,,0.45017,0.0
valentina_sol_gym_001,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_001_00001_.png,,gym,1.0,0.10831,0.13442,0.9995,13,1.0,81.83,True,,0.4047,0.0
valentina_sol_gym_002,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_002_00001_.png,,gym,0.9997,0.03108,0.17084,0.9541,26,0.8029,78.12,False,forbidden_prompt:mirror,,
valentina_sol_gym_003,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_003_00001_.png,,gym,1.0,0.20324,0.18768,0.9984,13,1.0,68.67,True,,0.53388,0.0
valentina_sol_gym_004,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_004_00001_.png,,gym,1.0,0.20995,0.03193,0.9918,13,1.0,74.53,True,,0.53302,0.0
valentina_sol_gym_005,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_005_00001_.png,,gym,1.0,0.12333,0.10034,0.9465,15,0.7561,76.46,True,,0.53875,0.0
valentina_sol_gym_006,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_006_00001_.png,,gym,0.9998,0.30227,0.0603,0.9965,13,1.0,73.49,False,face_too_close,,
valentina_sol_gym_007,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_007_00001_.png,,gym,1.0,0.08336,0.09629,0.9875,14,0.8487,88.35,True,,0.40566,0.0
valentina_sol_gym_008,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_008_00001_.png,,gym,1.0,0.08514,0.17873,0.9698,14,1.0,86.8,True,,0.43145,0.0
valentina_sol_gym_009,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_009_00001_.png,,gym,1.0,0.1411,0.18737,0.9269,17,1.0,73.37,True,,0.49027,0.0
valentina_sol_gym_010,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_010_00001_.png,,gym,0.9993,0.07649,0.1081,0.943,16,0.9892,92.87,False,forbidden_prompt:mirror,,
valentina_sol_gym_011,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_011_00001_.png,,gym,0.9987,0.12355,0.07748,0.9841,13,0.6022,73.75,True,,0.46469,0.0
valentina_sol_gym_012,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_012_00001_.png,,gym,1.0,0.16066,0.0283,0.9967,13,0.9356,73.75,True,,0.48473,0.0
valentina_sol_gym_013,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_013_00001_.png,,gym,1.0,0.10704,0.06998,0.9986,13,1.0,84.61,True,,0.50195,0.0
valentina_sol_gym_014,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_014_00001_.png,,gym,0.9999,0.181,0.0893,0.9926,13,1.0,72.35,True,,0.51545,0.0
valentina_sol_gym_015,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_015_00001_.png,,gym,0.9998,0.09209,0.13548,0.9756,23,1.0,89.91,True,,0.46572,0.0
valentina_sol_gym_016,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_016_00001_.png,,gym,0.9998,0.10845,0.17619,0.9967,13,1.0,80.16,True,,0.28345,0.0
valentina_sol_gym_017,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_017_00001_.png,,gym,1.0,0.23364,0.03375,0.9676,18,1.0,78.23,True,,0.55424,1.21
valentina_sol_gym_018,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_018_00001_.png,,gym,1.0,0.11072,0.04984,0.9533,13,1.0,83.9,True,,0.48064,0.0
valentina_sol_gym_019,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_019_00001_.png,,gym,1.0,0.05658,0.26028,0.9312,23,1.0,84.14,True,,0.3794,0.0
valentina_sol_gym_020,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_020_00001_.png,,gym,1.0,0.1666,0.03158,0.9304,18,1.0,77.75,True,,0.23718,0.0
valentina_sol_viajes_001,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_001_00001_.png,,viajes,0.9989,0.11039,0.13499,0.9982,13,0.7748,77.82,True,,0.37991,0.0
valentina_sol_viajes_002,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_002_00001_.png,,viajes,0.9999,0.07005,0.11367,0.9189,21,1.0,93.13,True,,0.45365,0.0
valentina_sol_viajes_003,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_003_00001_.png,,viajes,1.0,0.12027,0.12188,0.9978,13,1.0,79.09,True,,0.49501,0.0
valentina_sol_viajes_004,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_004_00001_.png,,viajes,0.9997,0.06994,0.13885,0.9724,14,1.0,89.7,True,,0.42353,0.0
valentina_sol_viajes_005,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_005_00001_.png,,viajes,0.9998,0.29893,0.05021,0.9992,13,1.0,73.9,False,face_too_close,,
valentina_sol_viajes_006,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_006_00001_.png,,viajes,0.9997,0.02204,0.15818,0.8949,27,1.0,78.27,True,,0.48214,0.0
valentina_sol_viajes_007,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_007_00001_.png,,viajes,1.0,0.14899,0.11478,0.9696,14,1.0,72.21,False,forbidden_prompt:sunglasses,,
valentina_sol_viajes_008,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_008_00001_.png,,viajes,1.0,0.14641,0.11198,0.9835,13,1.0,72.34,True,,0.46352,0.0
valentina_sol_viajes_009,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_009_00001_.png,,viajes,1.0,0.15664,0.10208,0.9688,14,1.0,72.41,True,,0.48672,0.0
valentina_sol_viajes_010,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_010_00001_.png,,viajes,1.0,0.28718,0.04315,0.9791,13,1.0,73.96,False,face_too_close,,
valentina_sol_viajes_011,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_011_00001_.png,,viajes,0.9998,0.16314,0.1299,0.991,13,1.0,70.78,True,,0.41246,0.0
valentina_sol_viajes_012,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_012_00001_.png,,viajes,0.9997,0.02586,0.18732,0.9524,24,1.0,79.04,True,,0.31297,0.0
valentina_sol_viajes_013,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_013_00001_.png,,viajes,0.9999,0.07495,0.11725,0.8949,19,1.0,93.94,True,,0.4353,0.0
valentina_sol_viajes_014,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_014_00001_.png,,viajes,1.0,0.22528,0.09708,0.9988,13,1.0,72.12,True,,0.50601,0.0
valentina_sol_viajes_015,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_015_00001_.png,,viajes,1.0,0.1252,0.21563,0.9974,13,0.9501,73.46,True,,0.52722,0.0
valentina_sol_viajes_016,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_016_00001_.png,,viajes,0.9998,0.14306,0.07926,0.9936,13,1.0,74.59,True,,0.40435,0.0
valentina_sol_viajes_017,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_017_00001_.png,,viajes,0.9999,0.09623,0.12186,0.9855,14,1.0,86.19,True,,0.45125,0.0
valentina_sol_viajes_018,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_018_00001_.png,,viajes,0.9999,0.12722,0.08167,0.937,15,1.0,79.67,True,,0.47991,0.0
valentina_sol_viajes_019,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_019_00001_.png,,viajes,0.9999,0.08649,0.12193,0.9217,21,1.0,91.11,True,,0.44426,0.0
valentina_sol_viajes_020,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_020_00001_.png,,viajes,1.0,0.18998,0.01202,0.9973,13,1.0,75.35,True,,0.53443,0.0
valentina_sol_lifestyle_001,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_001_00001_.png,,lifestyle,0.9976,0.05152,0.06872,0.9459,16,1.0,88.65,True,,0.40125,0.0
valentina_sol_lifestyle_002,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_002_00001_.png,,lifestyle,0.9999,0.23101,0.21525,0.9959,13,1.0,67.59,True,,0.40923,0.0
valentina_sol_lifestyle_003,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_003_00001_.png,,lifestyle,0.9991,0.21667,0.0862,0.9887,13,0.7811,69.11,True,,0.56312,3.75
valentina_sol_lifestyle_004,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_004_00001_.png,,lifestyle,1.0,0.49229,0.05812,0.9877,11,0.635,66.36,False,forbidden_prompt:mirror,,
valentina_sol_lifestyle_005,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_005_00001_.png,,lifestyle,0.9993,0.24299,0.16653,0.9889,13,1.0,69.34,True,,0.44036,0.0
valentina_sol_lifestyle_006,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_006_00001_.png,,lifestyle,1.0,0.11556,0.10511,0.9994,13,1.0,81.01,True,,0.52507,0.0
valentina_sol_lifestyle_007,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_007_00001_.png,,lifestyle,0.9998,0.18174,0.06505,0.998,13,1.0,73.33,True,,0.51056,0.0
valentina_sol_lifestyle_008,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_008_00001_.png,,lifestyle,0.9989,0.07255,0.09595,0.9156,26,1.0,94.39,True,,0.34641,0.0
valentina_sol_lifestyle_009,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_009_00001_.png,,lifestyle,1.0,0.17027,0.06503,0.9983,13,0.6758,68.48,True,,0.55221,0.63
valentina_sol_lifestyle_010,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_010_00001_.png,,lifestyle,0.9999,0.1449,0.14884,0.998,13,1.0,71.5,True,,0.40887,0.0
valentina_sol_lifestyle_011,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_011_00001_.png,,lifestyle,0.9998,0.0953,0.04913,0.938,22,0.9209,90.59,True,,0.45698,0.0
valentina_sol_lifestyle_012,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_012_00001_.png,,lifestyle,0.9998,0.06435,0.10455,0.9598,24,1.0,92.57,True,,0.40602,0.0
valentina_sol_lifestyle_013,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_013_00001_.png,,lifestyle,1.0,0.12278,0.08189,0.9877,13,1.0,79.84,True,,0.38334,0.0
valentina_sol_lifestyle_014,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_014_00001_.png,,lifestyle,1.0,0.13377,0.08182,0.9984,13,1.0,77.03,True,,0.44992,0.0
valentina_sol_lifestyle_015,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_015_00001_.png,,lifestyle,0.9996,0.1549,0.13485,0.9978,13,1.0,70.66,True,,0.47695,0.0
valentina_sol_lifestyle_016,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_016_00001_.png,,lifestyle,1.0,0.28917,0.07124,0.9909,13,1.0,73.02,False,face_too_close,,
valentina_sol_lifestyle_017,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_017_00001_.png,,lifestyle,1.0,0.06724,0.03889,0.8766,21,1.0,94.6,True,,0.47569,0.0
valentina_sol_lifestyle_018,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_018_00001_.png,,lifestyle,0.9999,0.09609,0.10891,0.8869,25,1.0,88.53,True,,0.45407,0.0
valentina_sol_lifestyle_019,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_019_00001_.png,,lifestyle,1.0,0.15131,0.09991,0.976,13,1.0,71.77,True,,0.45247,0.0
valentina_sol_lifestyle_020,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_020_00001_.png,,lifestyle,1.0,0.16907,0.02663,0.9984,13,1.0,74.8,True,,0.57703,7.72
