source_id,source_path,output_path,category,face_probability,face_area_ratio,face_center_distance,pose_visibility,pose_landmarks_visible,blur_score,quality_score,selected,rejection_reason,identity_cluster_similarity,identity_cluster_score
valentina_sol_gym_019,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_019_00001_.png,dataset_lora/images/elena_voss_011.png,gym,1.0,0.05658,0.26028,0.9312,23,1.0,84.14,True,,0.3794,0.0
valentina_sol_gym_018,images/generated/dataset/valentina_sol/gym/valentina_sol_gym_018_00001_.png,dataset_lora/images/elena_voss_012.png,gym,1.0,0.11072,0.04984,0.9533,13,1.0,83.9,True,,0.48064,0.0
valentina_sol_lifestyle_017,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_017_00001_.png,dataset_lora/images/elena_voss_013.png,lifestyle,1.0,0.06724,0.03889,0.8766,21,1.0,94.6,True,,0.47569,0.0
valentina_sol_lifestyle_008,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_008_00001_.png,dataset_lora/images/elena_voss_014.png,lifestyle,0.9989,0.07255,0.09595,0.9156,26,1.0,94.39,True,,0.34641,0.0
valentina_sol_lifestyle_012,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_012_00001_.png,dataset_lora/images/elena_voss_015.png,lifestyle,0.9998,0.06435,0.10455,0.9598,24,1.0,92.57,True,,0.40602,0.0
valentina_sol_lifestyle_011,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_011_00001_.png,dataset_lora/images/elena_voss_016.png,lifestyle,0.9998,0.0953,0.04913,0.938,22,0.9209,90.59,True,,0.45698,0.0
valentina_sol_lifestyle_020,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_020_00001_.png,dataset_lora/images/elena_voss_017.png,lifestyle,1.0,0.16907,0.02663,0.9984,13,1.0,74.8,True,,0.57703,7.72
valentina_sol_lifestyle_001,images/generated/dataset/valentina_sol/lifestyle/valentina_sol_lifestyle_001_00001_.png,dataset_lora/images/elena_voss_018.png,lifestyle,0.9976,0.05152,0.06872,0.9459,16,1.0,88.65,True,,0.40125,0.0
valentina_sol_playa_019,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_019_00001_.png,dataset_lora/images/elena_voss_019.png,playa,0.9999,0.07042,0.05415,0.9991,13,1.0,92.53,True,,0.38468,0.0
valentina_sol_playa_020,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_020_00001_.png,dataset_lora/images/elena_voss_020.png,playa,0.9998,0.08274,0.0625,0.9792,14,1.0,91.97,True,,0.47193,0.0
valentina_sol_playa_016,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_016_00001_.png,dataset_lora/images/elena_voss_021.png,playa,1.0,0.08689,0.0997,0.9067,22,1.0,91.63,True,,0.41735,0.0
valentina_sol_playa_009,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_009_00001_.png,dataset_lora/images/elena_voss_022.png,playa,1.0,0.08389,0.14982,0.9646,23,1.0,91.39,True,,0.53054,0.0
valentina_sol_playa_001,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_001_00001_.png,dataset_lora/images/elena_voss_023.png,playa,1.0,0.07561,0.19223,0.9987,13,1.0,88.33,True,,0.4715,0.0
valentina_sol_playa_003,images/generated/dataset/valentina_sol/playa/valentina_sol_playa_003_00001_.png,dataset_lora/images/elena_voss_024.png,playa,1.0,0.08353,0.15315,0.979,14,1.0,88.31,True,,0.53727,0.0
valentina_sol_viajes_013,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_013_00001_.png,dataset_lora/images/elena_voss_025.png,viajes,0.9999,0.07495,0.11725,0.8949,19,1.0,93.94,True,,0.4353,0.0
valentina_sol_viajes_002,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_002_00001_.png,dataset_lora/images/elena_voss_026.png,viajes,0.9999,0.07005,0.11367,0.9189,21,1.0,93.13,True,,0.45365,0.0
valentina_sol_viajes_019,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_019_00001_.png,dataset_lora/images/elena_voss_027.png,viajes,0.9999,0.08649,0.12193,0.9217,21,1.0,91.11,True,,0.44426,0.0
valentina_sol_viajes_004,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_004_00001_.png,dataset_lora/images/elena_voss_028.png,viajes,0.9997,0.06994,0.13885,0.9724,14,1.0,89.7,True,,0.42353,0.0
valentina_sol_viajes_017,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_017_00001_.png,dataset_lora/images/elena_voss_029.png,viajes,0.9999,0.09623,0.12186,0.9855,14,1.0,86.19,True,,0.45125,0.0
valentina_sol_viajes_018,images/generated/dataset/valentina_sol/viajes/valentina_sol_viajes_018_00001_.png,dataset_lora/images/elena_voss_030.png,viajes,0.9999,0.12722,0.08167,0.937,15,1.0,79.67,True,,0.47991,0.0
